"sessionCode","title","topic","format","level","Products","SpeakerNames","SpeakerCompanies","Description"
"BRK3222","Tackle your modern work challenges with AI, natural language, and more in Microsoft Excel","Productivity","Session","Advanced (300)","Microsoft 365	Files and Content
Microsoft 365
Microsoft 365	Information Protection
Microsoft 365	Identity and Access Management
Microsoft 365	Email and Calendar
Microsoft 365	Threat Protection
Microsoft 365	Meetings and Voice
Microsoft 365	Operating System 
Microsoft 365	Device and Application Management
Microsoft 365	Applications
Microsoft 365	Task Management
Microsoft 365	Social and Intranet
Microsoft 365	Security Management
Microsoft 365	Advanced Compliance
Microsoft 365	Advanced Analytics
","Yunling Wang
","Microsoft
","tackle your modern work challenges with ai, natural language, and more in microsoft excel"
"BRK3093","How the Office app on Windows, web, and mobile can simplify employees’ lives","Productivity","Session","Advanced (300)","Microsoft 365	Files and Content
Microsoft 365
Microsoft 365	Applications
","Kevin Stratvert
Nithya Sampathkumar
William Doll
","Microsoft
Microsoft
Microsoft
","how the office app on windows, web, and mobile can simplify employees’ lives"
"UNC1010","Achieving zero downtime deployments with Azure DevOps and Kubernetes","","","Foundational (100)","Azure	Containers
Azure
Azure	DevOps 
","Scott Hoag
","@msclouditpro @ciphertxt
","achieving zero downtime deployments with azure devops and kubernetes"
"BRK3149","Managing a virtual workplace using Windows Virtual Desktop and Microsoft 365","","","Advanced (300)","Microsoft 365	Operating System 
Microsoft 365
Microsoft 365	Device and Application Management
","Simon Binder
","Truesec
","managing a virtual workplace using windows virtual desktop and microsoft 365"
"BRK4016","Real detection stories! See how Microsoft Threat Protection defeated actual attacks and adheres to the MITRE framework","Security","Session","Expert (400)","Microsoft 365	Threat Protection
Microsoft 365
","Elia Florio
David Fantham
","Microsoft
Microsoft Threat Protection
","real detection stories! see how microsoft threat protection defeated actual attacks and adheres to the mitre framework"
"BRK2104","Your users are under attack! Strengthen your anti-phishing defense with these O365 ATP best practices","Security","Session","Intermediate (200)","Microsoft 365	Threat Protection
Microsoft 365
","Girish Chander
","Microsoft
","your users are under attack! strengthen your anti-phishing defense with these o365 atp best practices"
"THR2058","Discover shadow IT across all your SaaS, IaaS, and PaaS resources","Security","Session","Intermediate (200)","Microsoft 365	Operating System 
Microsoft 365
Microsoft 365	Applications
Microsoft 365	Information Protection
","Alex Esibov
","Microsoft
","discover shadow it across all your saas, iaas, and paas resources"
"BRK3317","Microsoft Surface Hub 2S IT pro deep dive","Devices","Session","Advanced (300)","Microsoft 365	Device and Application Management
Microsoft 365
","Yoav Barzilay
Peter Lurie
","Microsoft
Microsoft
","microsoft surface hub 2s it pro deep dive"
"THR1060","Meet Microsoft Surface ","Devices","Session","Foundational (100)","Microsoft 365	Device and Application Management
Microsoft 365
","Frank Buchholz
","Microsoft
","meet microsoft surface"
"TK03","Microsoft's roadmap for security, compliance, and identity","Customer Success","Thought Leadership","Intermediate (200)","","Kirk Koenigsbauer
Ann Johnson
Bret Arsenault
","Microsoft
CVP, Cybersecurity
Microsoft Corportation
","microsoft's roadmap for security, compliance, and identity"
"THR2008","You do meetings? So do we! Come see new meeting features in Outlook on the web!","Productivity","Session","Intermediate (200)","Microsoft 365	Operating System 
Microsoft 365
Microsoft 365	Task Management
Microsoft 365	Meetings and Voice
Microsoft 365	Device and Application Management
Microsoft 365	Threat Protection
Microsoft 365	Applications
Microsoft 365	Identity and Access Management
Microsoft 365	Security Management
Microsoft 365	Email and Calendar
Microsoft 365	Social and Intranet
Microsoft 365	Information Protection
Microsoft 365	Files and Content
Microsoft 365	Advanced Compliance
Microsoft 365	Advanced Analytics
","Will Holmes
","Microsoft Corp/Outlook Calendar
","you do meetings? so do we! come see new meeting features in outlook on the web!"
"BRK3014","Understanding the latest updates in Azure Cosmos DB API for Mongo DB and best practices","Data","Session","Advanced (300)","Azure	Databases
Azure
","Sri Chintala
","Microsoft
","understanding the latest updates in azure cosmos db api for mongo db and best practices"
"THR2064","Five Microsoft PowerPoint tricks you wished you knew","","","Intermediate (200)","Microsoft 365	Applications
Microsoft 365
","Boris Hristov
","356labs
","five microsoft powerpoint tricks you wished you knew"
"THR1026","Five reasons to integrate Yammer into Microsoft Teams","","","Foundational (100)","Microsoft 365	Social and Intranet
Microsoft 365
","Amy Dolzine
","Ernst & Young, LLP
","five reasons to integrate yammer into microsoft teams"
"THR1028","Organizing an IT community conference: Tips and tricks","","","Foundational (100)","Not Product Specific
","Dzmitry Durasau
","EPAM Systems
","organizing an it community conference: tips and tricks"
"BRK2157","Exam Prep | MS-100: Microsoft 365 Identity and Services","Fundamentals","Exam Prep","Intermediate (200)","Microsoft 365	Threat Protection
Microsoft 365
Microsoft 365	Security Management
","Ed Baker
","Excalibur Services
","exam prep | ms-100: microsoft 365 identity and services"
"THR1031","Office 365 and Microsoft Teams adoption from the real world","","","Foundational (100)","Microsoft 365	Meetings and Voice
Microsoft 365
Microsoft 365	Files and Content
","John Peluso
","AvePoint Public Sector Inc.
","office 365 and microsoft teams adoption from the real world"
"UNC1022","Sharing experiences: In the end, how do we put our stuff in production?","","","Foundational (100)","Azure	DevOps 
Azure
","Ernesto Cardenas Cangahuala
","Interbank
","sharing experiences: in the end, how do we put our stuff in production?"
"UNC1033","IoT loves Azure Functions! What is your experience with serverless and IoT?","","","Foundational (100)","Azure	Web
Azure
Azure	Internet of Things
","Jorge Maia
Armando Lacerda
","CrazyTechLabs
MC Tech
","iot loves azure functions! what is your experience with serverless and iot?"
"THR2014","Automating Azure Cognitive Services with PowerShell","","","Intermediate (200)","Azure	AI + Machine Learning
Azure
","Aleksandar Nikolic
","M.O.3.A.K. IT Consulting
","automating azure cognitive services with powershell"
"BRK4000","Multi-master and global distribution with Azure Cosmos DB","Data","Session","Expert (400)","Azure	Databases
Azure
","Mark Brown
","Azure Cosmos DB
","multi-master and global distribution with azure cosmos db"
"BRK2003","Get ahead with Outlook mobile: Intelligent technology that helps you stay on top of your day","Productivity","Session","Intermediate (200)","Microsoft 365	Task Management
Microsoft 365
Microsoft 365	Threat Protection
Microsoft 365	Operating System 
Microsoft 365	Email and Calendar
Microsoft 365	Information Protection
Microsoft 365	Identity and Access Management
Microsoft 365	Device and Application Management
Microsoft 365	Files and Content
Microsoft 365	Social and Intranet
Microsoft 365	Security Management
Microsoft 365	Applications
Microsoft 365	Advanced Compliance
Microsoft 365	Meetings and Voice
Microsoft 365	Advanced Analytics
","Tali Roth
Michael Palermiti
","Microsoft
Microsoft
","get ahead with outlook mobile: intelligent technology that helps you stay on top of your day"
"BRK3023","Machine learning and AI with SQL Server 2019 big data clusters","Data","Session","Advanced (300)","Azure	Databases
Azure
","Buck Woody
Nellie Gustafsson
","Microsoft
Microsoft
","machine learning and ai with sql server 2019 big data clusters"
"BRK3024","SQL Server 2019 on containers and Kubernetes","Data","Session","Advanced (300)","Azure	Databases
Azure
","Vin Yu
","Microsoft
","sql server 2019 on containers and kubernetes"
"BRK2013","Raising the bar again for Azure SQL Database with Centrally Managed Encryption","Data","Session","Intermediate (200)","Azure	Databases
Azure
Azure	Security
","Joachim Hammer
Jakub Szymaszek
","Microsoft
Microsoft
","raising the bar again for azure sql database with centrally managed encryption"
"THR2018","Creating enterprise conversational user experiences with virtual assistants","Intelligence","Session","Intermediate (200)","Azure	AI + Machine Learning
Azure
","Dewain Robinson
","Microsoft
","creating enterprise conversational user experiences with virtual assistants"
"BRK3031","How key industries are getting changed by computer vision on edge and on cloud","Intelligence","Customer Showcase","Advanced (300)","Azure	AI + Machine Learning
Azure
","Cornelia Carapcea
Petra Tant
","Microsoft
Aprimo
","how key industries are getting changed by computer vision on edge and on cloud"
"UNC1027","Starting (and sustaining) a user group","","","Foundational (100)","Not Product Specific
","Greg Ramsey
","Dell Technologies
","starting (and sustaining) a user group"
"BRK2019","Choosing the best language for your machine learning solution: From R to Python","Intelligence","Session","Intermediate (200)","Azure	AI + Machine Learning
Azure
","Daniel Schneider
David Smith
","Microsoft
Microsoft
","choosing the best language for your machine learning solution: from r to python"
"THR4000","Hands on with the new Microsoft Search API in the Microsoft Graph","","Session","Expert (400)","","Nicolas Moreau
","Microsoft
","hands on with the new microsoft search api in the microsoft graph"
"BRK3103","Protecting sensitive files and data can be hard. Choose the right data protection options that balance security and worker productivity","Security","Session","Advanced (300)","Microsoft 365	Information Protection
Microsoft 365
","Aashish Ramdas
Laurie Litwack
Enrique Saggese
","Microsoft
Microsoft
Microsoft Corporation
","protecting sensitive files and data can be hard. choose the right data protection options that balance security and worker productivity"
"BRK2025","The power of the new Microsoft Project and Microsoft 365","Productivity","Session","Intermediate (200)","Microsoft 365	Task Management
Microsoft 365
","George Bullock
Chris Boyd
","Microsoft Corp.
Microsoft
","the power of the new microsoft project and microsoft 365"
"SECI20","Shut the door to cybercrime with identity-driven security","Security","Session","Advanced (300)","Microsoft 365	Identity and Access Management
Microsoft 365
","Mark Morowczynski
Rohini Goyal
","Microsoft
Microsoft
","shut the door to cybercrime with identity-driven security"
"BRK2027","Deep dive on the new Microsoft Project","Productivity","Session","Intermediate (200)","Microsoft 365	Task Management
Microsoft 365
","Heather Heide
George Bullock
","Microsoft
Microsoft Corp.
","deep dive on the new microsoft project"
"BRK1013","A look at what’s new in Windows 10 Pro and modern devices","Devices","Session","Foundational (100)","Microsoft 365	Device and Application Management
Microsoft 365
Microsoft 365	Identity and Access Management
Microsoft 365	Information Protection
Microsoft 365	Security Management
Microsoft 365	Threat Protection
Microsoft 365	Operating System 
","Augusto Valdez
","Microsoft
","a look at what’s new in windows 10 pro and modern devices"
"BRK2036","Scheduler: Hand off the time-consuming task of scheduling to your AI assistant","Intelligence","Session","Intermediate (200)","","Charles Lee
","Microsoft
","scheduler: hand off the time-consuming task of scheduling to your ai assistant"
"BRK2235","Protect your data (in-transit and at-rest) with Microsoft 365 encryption technologies","Compliance","","Intermediate (200)","","Brijesh Desai
Samson Chan
","Microsoft Corporation
Microsoft
","protect your data (in-transit and at-rest) with microsoft 365 encryption technologies"
"THR3011","Reduce risk with Microsoft 365 access control technologies","Compliance","Session","Advanced (300)","Microsoft 365	Identity and Access Management
Microsoft 365
","Anand Menon
","Microsoft
","reduce risk with microsoft 365 access control technologies"
"THR1074","Learn more about intelligent information governance across all your data","Compliance","Session","Foundational (100)","","Roberto Yglesias
","Microsoft
","learn more about intelligent information governance across all your data"
"THR2292","New experiences and innovations in Yammer","Productivity","","Intermediate (200)","","Adrienne Trudeau
Tamanna Kottwani
","Microsoft
Microsoft
","new experiences and innovations in yammer"
"BRK4005","Best practices for optimizing performance of SharePoint sites and portals in Microsoft 365","Productivity","Session","Expert (400)","","John Fan
","Microsoft - ODSP
","best practices for optimizing performance of sharepoint sites and portals in microsoft 365"
"WRK3002R","Hands-on with migrating to Azure SQL Database Managed Instance using DMS (REPEAT)","Data","Hands-on Session","Advanced (300)","Azure	Databases
Azure
","Kirill Glushko
Eqbal Zaffar
","Microsoft
Microsoft
","hands-on with migrating to azure sql database managed instance using dms (repeat)"
"BRK3044","Migrating Your Mission-Critical Data Warehouse to Azure Synapse Analytics","Data","Customer Showcase","Advanced (300)","Azure	Analytics
Azure
Azure	Databases
","Charles Feddersen
Anne Michelle Cruz
","Microsoft
Walgreen Co
","migrating your mission-critical data warehouse to azure synapse analytics"
